	[Main Form]
RSComboBox2.Font.Charset	RUSSIAN_CHARSET
RSComboBox2.Items.Strings	0  Копейщик
1  Алебардщик
2  Арбалетчик
3  Тяжелый Арбалетчик
4  Грифон
5  Королевский Грифон
6  Мечник
7  Крестоносец
8  Монах
9  Фанатик
10  Кавалерист
11  Чемпион
12  Ангел
13  Архангел
14  Кентавр
15  Капитан Кентавров
16  Гном
17  Боевой Гном
18  Лесной Ельф
19  Благородный Эльф
20  Пегас
21  Серебряный Пегас
22  Дендроид Охранник
23  Дендроид Солдат
24  Единорог
25  Боевой Единорог
26  Зеленый Дракон
27  Золотой Дракон
28  Гремлин
29  Мастер-Гремлин
30  Каменная Горгулья
31  Обсидиановая Горгулья
32  Каменный Голем
33  Стальной Голем
34  Маг
35  Архи-Маг
36  Джинн
37  Мастер-Джинн
38  Нага
39  Королева Нага
40  Гигант
41  Титан
42  Бес
43  Чёрт
44  Гог
45  Магог
46  Адская Гончая
47  Цербер
48  Демон
49  Рогатый Демон
50  Порождение Зла
51  Адское Отродье
52  Ифрит
53  Ифрит-Султан
54  Дьявол
55  Архидьявол
56  Скелет
57  Воин Скелет
58  Живой Мертвец
59  Зомби
60  Страж
61  Привидение
62  Вампир
63  Вампир Лорд
64  Лич
65  Могущественный Лич
66  Черный Рыцарь
67  Рыцарь Смерти
68  Костяной Дракон
69  Дракон-Привидение
70  Троглодит
71  Адский Троглодит
72  Гарпия
73  Гарпия-Ведьма
74  Бехолдер
75  Злой Глаз
76  Медуза
77  Королева Медуза
78  Минотавр
79  Король Минотавр
80  Мантикора
81  Скорпикора
82  Красный Дракон
83  Черный Дракон
84  Гоблин
85  Хобгоблин
86  Наездник на волках
87  Налетчик
88  Орк
89  Орк-Вождь
90  Огр
91  Огр-Шаман
92  Птица Рух
93  Птица-Гром
94  Циклоп
95  Король Циклопов
96  Чудище
97  Древнее Чудище
98  Гнолл
99  Гнолл-Мародер
100  Ящер
101  Ящер-Воин
102  Горгона
103  Могучая Горгона
104  Змий
105  Змий-Дракон
106  Василиск
107  Великий Василиск
108  Виверн
109  Виверн-Монарх
110  Гидра
111  Гидра Хаоса
112  Воздушный Элементаль
113  Элементаль Земли
114  Огненный Элементаль
115  Элементаль Воды
116  Золотой Голем
117  Алмазный Голем
118  Маленькая Фея
119  Фея
120  Психический Элементаль
121  Магический Элементаль
122  NOT USED (1)
123  Ледяной Элементаль
124  NOT USED (2) 
125  Элементаль Магмы
126  NOT USED (3)
127  Элементаль Шторма
128  NOT USED (4)
129  Энергетический Элементаль
130  Огненная Птица
131  Феникс
132  Лазурный Дракон
133  Кристальный Дракон
134  Сказочный Дракон
135  Ржавый Дракон
136  Чародей
137  Снайпер
138  Хоббит
149  Крестьянин
140  Орк на кабане
141  Мумия
142  Кочевник
143  Вор
144  Тролль
145  Катапульта
146  Баллиста
147  Палатка Первой Помощи
148  Тележка с Боеприпасами
149  Стрелковая Башня
150  Верховный Архангел
151  Алмазный Дракон
152  Громовержец
153  Барон Ада
154  Кровавый Дракон
155  Темный Дракон
156  Чудище-Привидение
157  Кошмарная Гидра
158  Дух Погребального Костра
159  Привидение
160  Эмиссар Войны
161  Эмиссар Мира
162  Эмиссар Чуда
163  Эмиссар Знания
164  Посланник Огня
165  Посланник Земли
166  Посланник Воздуха
167  Посланник Воды
168  Змей Горыныч
169  Фанатик Войны
170  Арктический Снайпер
171  Закаленный Снайпер
172  Кошмар
173  Санта-Гремлин
174  Паладин
175  Знахарь
176  Храмовница
177  Суккуб
178  Пожиратель Душ
179  Зверь
180  Вождь Людоедов
181  Шаман
182  Астральный Дух
183  Паладин
184  Знахарь
185  Храмовница
186  Суккуб
187  Пожиратель Душ
188  Зверь
189  Вождь Людоедов
190  Шаман
191  Астральный Дух
192  Сильванский Кентавр
193  Волшебница
194  Оборотень
195  Пожар
196  Драколич
